moreedlund	nouveau	persName	More-Edlund											More-Edlund								t10010238-1981-04-CR.xml		
cinquantetroisjours	nouveau	title	"Cinquante-trois jours"											"Cinquante-trois jours"								t10010238-1981-04-CR.xml		
lacantatricesauve	nouveau	title	"La cantatrice sauve"											"La cantatrice sauve"								"t10010238-1981-04-CR.xml
t10010239-1981-05-OJ.xml"		
beaupresent	nouveau	title	Beau-présent											Beau-présent								t10010238-1981-04-CR.xml		
arnaudbenaboubensbergeblavierbraffortcalvinochapmanchambersduchampduchateauetiennefournellatislelionnaislescuremetailmathewsperecqueneauquevalroubaudschmidt	nouveau	persName	"Arnaud Benabou Bens Berge Blavier Braffort Calvino Chapman Chambers Duchamp Duchateau Etienne Fournel Latis Le Lionnais Lescure Métail Mathews Perec Queneau Queval Roubaud Schmidt"											"Arnaud Benabou Bens Berge Blavier Braffort Calvino Chapman Chambers Duchamp Duchateau Etienne Fournel Latis Le Lionnais Lescure Métail Mathews Perec Queneau Queval Roubaud Schmidt"								t10010238-1981-04-CR.xml		
todorov	nouveau	persName	Todorov											Todorov								t10010238-1981-04-CR.xml		
bakhtine	nouveau	persName	Bakhtine											Bakhtine								"t10010238-1981-04-CR.xml
t10010238-1981-04-OJ.xml"		
mbkennethkochjabigoudy	nouveau	persName	"MB Kenneth Koch Jabi Goudy"											"MB Kenneth Koch Jabi Goudy"								t10010238-1981-04-CR.xml		
jbgpjr	nouveau	persName	"JB GP JR"											"JB GP JR"								"t10010238-1981-04-CV.xml
t10010238-1981-04-CV.xml"		
voldicare	nouveau	title	"Vol d’Icare"											"Vol d’Icare"								t10010238-1981-04-CV.xml		
isabelle	nouveau	persName	Isabelle											Isabelle								"t10010238-1981-04-CV.xml
t10010248-1982-03-CV.xml"		
oulipoii	nouveau	title	"Oulipo II"											"Oulipo II"								t10010238-1981-04-OJ.xml		
intersection	nouveau	term	intersection											intersection								t10010238-1981-04-OJ.xml		
w	nouveau	title	W											W								t10010238-1981-04-OJ.xml		
seuil	nouveau	orgName	Seuil											Seuil								t10010238-1981-04-OJ.xml		
koch	nouveau	persName	Koch											Koch								t10010238-1981-04-OJ.xml		
goudy	nouveau	persName	Goudy											Goudy								t10010238-1981-04-OJ.xml		
franceradio	nouveau	orgName	"France Radio"											"France Radio"								t10010238-1981-04-OJ.xml		
rogershattuck	nouveau	persName	"Roger Shattuck"											"Roger Shattuck"								"t10010239-1981-05-CR.xml
t10010239-1981-05-CR.xml
t10010239-1981-05-CR.xml
t10010239-1981-05-OJ.xml"		
laparolechiffree	nouveau	title	"La parole chiffrée"											"La parole chiffrée"								t10010239-1981-05-CR.xml		
cantatricesauve	nouveau	title	"Cantatrice sauve "											"Cantatrice sauve "								t10010239-1981-05-CR.xml		
versmonosyllabiques	nouveau	term	"vers monosyllabiques"											"vers monosyllabiques"								t10010239-1981-05-CR.xml		
permutationssyllabiques	nouveau	term	"permutations syllabiques"											"permutations syllabiques"								t10010239-1981-05-CR.xml		
pentecoteabourges	nouveau	name	"Pentecôte à Bourges"											"Pentecôte à Bourges"								t10010239-1981-05-CR.xml		
gb	nouveau	persName	GB											GB								t10010239-1981-05-CR.xml		
cerisy	nouveau	name	"Cerisy "											"Cerisy "								"t10010239-1981-05-CR.xml
t10010239-1981-05-OJ.xml"		
edithheurgon	nouveau	persName	"Edith Heurgon"											"Edith Heurgon"								t10010239-1981-05-CR.xml		
delvy	nouveau	persName	Delvy											Delvy								t10010239-1981-05-CR.xml		
preprimtec	nouveau	name	Preprimtec											Preprimtec								t10010239-1981-05-CR.xml		
mariechoix	nouveau	persName	"Marie Choix"											"Marie Choix"								t10010239-1981-05-CR.xml		
classiqueshachette	nouveau	orgName	"Classiques Hachette"											"Classiques Hachette"								t10010239-1981-05-CR.xml		
avoixhauteavoixbasse	nouveau	title	"A voix haute, à voix basse"											"A voix haute, à voix basse"								t10010239-1981-05-CR.xml		
