"id"	"forme"	"label"
"andrebreton"	"Breton"	"forme alternative"
"andrebreton"	"Breton, André"	"forme préférée"
"breughellevieux"	"Breughel le Vieux"	"forme alternative"
"marcelbrien"	"Brien, Marcel"	"forme préférée"
"brigittebardot"	"Brigitte Bardot"	"forme alternative"
"moniquebringer"	"Bringer, Monique"	"forme préférée"
"brolitene"	"Brolitene"	"forme préférée"
"brolitene"	"BROLITENE"	"forme alternative"
"charlottebronte"	"Brontë, Charlotte"	"forme préférée"
"raphaelbrossard"	"Brossard, Raphaël"	"forme préférée"
"sebastienbrouillard"	"Brouillard, Sébastien"	"forme préférée"
"brown"	"Brown"	"forme préférée"
"fredricbrown"	"Brown, Fredric"	"forme préférée"
"browny"	"Browny"	"forme préférée"
"vbru"	"Bru, Valentin"	"forme préférée"
"vbru"	"Brü, Valentin"	"forme alternative"
"vbru"	"VB"	"forme alternative"
"vbru"	"vb"	"forme alternative"
"bruce"	"Bruce"	"forme préférée"
"brueghel"	"Brueghel"	"forme préférée"
"brun"	"Brun, Marcel"	"forme préférée"
"mmebrun"	"Brun, Mme"	"forme préférée"
"brunellaeruli"	"Brunella Eruli"	"forme alternative"
"brunelleermelli"	"Brunelle Ermelli"	"forme alternative"
"brunet"	"Brunet"	"forme préférée"
"gabrielbrunet"	"Brunet, Gabriel"	"forme alternative"
"gabrielbrunet"	"Brunet, Gabriel"	"forme préférée"
"brunner"	"Brunner"	"forme préférée"
"johnbrunner"	"Brunner, John"	"forme préférée"
"bruno"	"Bruno"	"forme préférée"
"giordanobruno"	"Bruno, G."	"forme alternative"
"giordanobruno"	"Bruno, Giordano"	"forme préférée"
"ferdinandbrunot"	"Brunot, Ferdinand"	"forme préférée"
"claudebruter"	"Bruter, Claude"	"forme préférée"
"bucaille"	"BUCAILLE"	"forme alternative"
"bucaille"	"Bucaille"	"forme alternative"
"bucaille"	"Bucaille, Max"	"forme préférée"
"conradbureau"	"Bureau, Conrad"	"forme préférée"
"burgelin"	"Burgelin"	"forme préférée"
"burgess"	"Burgess"	"forme préférée"
"burnax"	"Burnax"	"forme préférée"
"burroughs"	"Burroughs"	"forme alternative"
"burroughs"	"Burroughs, Edgar Rice"	"forme préférée"
"busterkeaton"	"Buster Keaton"	"forme alternative"
"michelbutor"	"Butor"	"forme alternative"
"michelbutor"	"Butor, Michel"	"forme préférée"
"byron"	"Byron"	"forme préférée"
"carolinecaradec"	"c_"	"forme alternative"
"carolinecaradec"	"C."	"forme alternative"
"christianbeck"	"C. Beck"	"forme alternative"
"cb"	"C. Berge"	"forme alternative"
"breard"	"C. Bréard"	"forme alternative"
"cm"	"C. Mélois"	"forme alternative"
"rameil"	"C. Rameil"	"forme alternative"
"cb"	"C.B."	"forme alternative"
"montserratcaballe"	"Caballé, Montserrat"	"forme préférée"
"guillermocabrerainfante"	"Cabrera Infante, Guillermo"	"forme préférée"
"cadarec"	"Cadarec"	"forme préférée"
"johncage"	"Cage, John"	"forme préférée"
"caillois"	"Caillois"	"forme préférée"
"alaincalame"	"Calame, Alain"	"forme préférée"
"calmannlevy"	"Calmann Levy"	"forme alternative"
"ic"	"Calvino"	"forme alternative"
"ic"	"calvino"	"forme alternative"
"ic"	"Calvino Italo"	"forme alternative"
"ic"	"Calvino, Italo"	"forme préférée"
"mmecalvino"	"Calvino, Mme"	"forme préférée"
"ic"	"calvinoitalo"	"forme alternative"
"jesuscamareiros"	"Camareiros, Jesus"	"forme préférée"
"cami"	"Cami"	"forme alternative"
"camilleroudier"	"Camille Roudier"	"forme alternative"
"juliocamillo"	"Camillo, Julio"	"forme préférée"
"jeancamion"	"Camion, Jean"	"forme préférée"
"campagnori"	"Campagnori"	"forme préférée"
"albertcamus"	"Camus"	"forme alternative"
"albertcamus"	"Camus, Albert"	"forme préférée"
"decandillac"	"Candillac, De"	"forme préférée"
"fc"	"Caradec"	"forme alternative"
"fc"	"caradec"	"forme alternative"
"fc"	"Caradec François"	"forme alternative"
"carolinecaradec"	"Caradec, Caroline"	"forme préférée"
"fc"	"Caradec, François"	"forme préférée"
"fc"	"caradecfrancois"	"forme alternative"
"caramuel"	"Caramuel"	"forme préférée"
"cardinaltisserand"	"Cardinal Tisserand"	"forme alternative"
"jaquetcardon"	"Cardon, Jaquet"	"forme préférée"
"carelman"	"Carelman"	"forme préférée"
"carelman"	"CARELMAN"	"forme alternative"
"carlemmanuelderain"	"Carl Emmanuel Derain"	"forme alternative"
"carloporta"	"Carlo Porta"	"forme alternative"
