"id"	"forme"	"label"
"centmillemilliardsdepoemes"	"100 m.m. de poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"100.000 m de p"	"forme alternative"
"centmillemilliardsdepoemes"	"100.000 milliards de poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"100.000.000.000.000. De poemes."	"forme alternative"
"centmillemilliardsdepoemes"	"100000000000000 de poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"10014 de poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"1010 poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"1014 poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"1014ème poème"	"forme alternative"
"centmillemilliardsdepoemes"	"Cent mille milliards"	"forme alternative"
"centmillemilliardsdepoemes"	"Cent mille milliards de poemes"	"forme alternative"
"centmillemilliardsdepoemes"	"Cent mille milliards de poèmes"	"forme préférée"
"centmillemilliardsdepoemes"	"Cent mille milliards de poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"Cent mille milliards de poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"Cent mille milliards des poèmes"	"forme alternative"
"centmillemilliardsdepoemes"	"Des cent mille milliards de poèmes"	"forme alternative"
"centmillemilliardsdesonnets"	"Cent mille milliards de sonnets"	"forme alternative"
"cequediraitleportrait"	"Ce que dirait le portrait"	"forme préférée"
"cerepereperec"	"Ce repère Perec"	"forme préférée"
"cerisy"	"Cerisy"	"forme alternative"
"cerisy"	"La Décade de Cerisy (1963)"	"forme préférée"
"certaindisparate"	"Certain disparate"	"forme alternative"
"certaindisparate"	"Un certain disparate"	"forme préférée"
"certaindisparate"	"Une certaine disparate"	"forme alternative"
"change"	"Change"	"forme préférée"
"chantdesigne"	"Chant de signe"	"forme préférée"
"charliehebdo"	"Charlie Hebdo"	"forme préférée"
"chartreusedeparme"	"Chartreuse de Parme"	"forme alternative"
"chartreusedeparme"	"La Chartreuse de Parme"	"forme préférée"
"chatenpoche"	"Chat en poche"	"forme préférée"
"chats"	"Chats"	"forme alternative"
"chats"	"Les Chats"	"forme préférée"
"cheneetchien"	"Chêne et chien"	"forme préférée"
"chicagoreview"	"Chicago Review"	"forme préférée"
"chiendent"	"Chiendent"	"forme alternative"
"chiendent"	"Chiendent"	"forme alternative"
"chiendent"	"Le Chiendent"	"forme préférée"
"chimere"	"Chimère"	"forme alternative"
"chimere"	"Chimères"	"forme alternative"
"chimere"	"Les Chimères"	"forme préférée"
"chimeres"	"Chimères"	"forme alternative"
"chineseorangemystery"	"Chinese orange mystery"	"forme préférée"
"chrysomallo"	"Chrysomallo"	"forme préférée"
"chrysomallo"	"Chrysomallo"	"forme alternative"
"cigaleetlafourmi"	"Cigale et la fourmi"	"forme alternative"
"cigaleetlafourmi"	"La Cigale et la fourmi"	"forme préférée"
"cigarettes"	"Cigarettes"	"forme préférée"
"cigarettes"	"Cigarettes"	"forme alternative"
"cinemadequartier"	"Cinéma de quartier"	"forme préférée"
"cinquantepoemesoligogrammes"	"Cinquante poèmes oligogrammes"	"forme préférée"
"cinquantetroisjours"	"Cinquante-trois jours"	"forme préférée"
"clefspourlalitteraturepotentielle"	"Clefs "	"forme alternative"
"clefspourlalitteraturepotentielle"	"Clefs pour la littérature potentielle"	"forme préférée"
"clododudharmadeanshan"	"Clodo du dharma de An-Shan"	"forme préférée"
"codeduduellitteraire"	"Code du duel littéraire"	"forme préférée"
"codeoftheliteraryduel"	"Code of the literary duel"	"forme préférée"
"collectionsoluble"	"Collection soluble"	"forme préférée"
"combinatoireetchevalerie"	"Combinatoire et chevalerie"	"forme préférée"
"comediehumaine"	"Comédie humaine"	"forme alternative"
"comediehumaine"	"Comédie humaine"	"forme alternative"
"comediehumaine"	"La Comédie humaine"	"forme préférée"
"commentjaiecritcertainsdemeslivres"	"Comment j’ai écrit certains de mes livres"	"forme préférée"
"commentjaiecrittousmeslivres"	"Comment j’ai écrit tous mes livres"	"forme préférée"
"communications"	"Communications"	"forme préférée"
"complaintesetepitaphesduroydelabazoche"	"Complaintes et epitaphes du roy de la bazoche"	"forme préférée"
"complementsdenoms"	"Compléments de noms"	"forme préférée"
"compositionn1"	"Composition n°1"	"forme préférée"
"concertopourportejarretelle"	"Concerto pour porte-jarretelle"	"forme préférée"
"concordancedutemps"	"Concordance du temps"	"forme préférée"
"conditionofdesire"	"Condition of Desire"	"forme préférée"
"confessionsdudiable"	"Confessions du diable"	"forme préférée"
"constructionwork"	"Construction work"	"forme préférée"
"contedulabrador"	"Conte du labrador"	"forme alternative"
"contedulabrador"	"Labrador"	"forme alternative"
"contedulabrador"	"Le Conte du labrador"	"forme préférée"
"contemporaryauthorsautobiography"	"Contemporary authors autobiography"	"forme préférée"
"contes"	"Contes"	"forme alternative"
"contes"	"Contes de Maupassant"	"forme préférée"
"contrepoints"	"Contrepoints"	"forme préférée"
"contributionauneinterpretationoulipiennedelhistoire"	"Contribution à une interprétation oulipienne de l’histoire"	"forme préférée"
"conversions"	"Conversions"	"forme préférée"
"corbeauetlerenard"	"Corbeau et le renard"	"forme alternative"
"corbeauetlerenard"	"Le Corbeau et le renard"	"forme préférée"
"cousinebette"	"Cousine Bette"	"forme alternative"
"cousinebette"	"La Cousine Bette"	"forme préférée"
"cousinpons"	"Cousin pons"	"forme alternative"
"cousinpons"	"Le Cousin Pons"	"forme préférée"
"cratyle"	"Cratyle"	"forme alternative"
"cratyle"	"Le Cratyle"	"forme préférée"
"creationsrecreationsrecreations"	"Créations, re-créations, récréations"	"forme préférée"
"crisedetheatre"	"Crise"	"forme alternative"
"crisedetheatre"	"Crise de théâtre"	"forme préférée"
"critique"	"Critique"	"forme préférée"
"daristotealoulipo"	"D'Aristote à l'Oulipo"	"forme préférée"
"dasbucheinbuch"	"Das buch ein buch"	"forme préférée"
"deboutledaneedelaterre"	"Debout, Léda, née de la terre !"	"forme préférée"
"definitiondeloulipo"	"Définition de l’Oulipo"	"forme préférée"
"delametamorphosedunmythe"	"De la métamorphose d’un mythe belge …"	"forme préférée"
"delametamorphosedunmythe"	"De la métamorphose d’un mythe belge ou le voyage à verviers"	"forme alternative"
"delie"	"Délie"	"forme préférée"
"delinutilitedelarimedanslespoemesrimes"	"De l’inutilité de la rime dans les poèmes rimés"	"forme préférée"
"deloulipoalalamo"	"De l’Oulipo à l’Alamo […]"	"forme préférée"
"deloulipoalalamo"	"De l’oulipo à l’alamo, une expérience littéraire et ses retombées technologiques"	"forme alternative"
"delouvroirdeloulipoetsonexterieuratoutelhumanite"	"De l’Ouvroir de l’Oulipo et son extérieur à toute l’humanité"	"forme préférée"
"demandedemploi"	"Demande d’emploi"	"forme alternative"
"demandedemploi"	"La Demande d’emploi"	"forme préférée"
"dequelquesfournitures"	"De quelques fournitures de bureau …"	"forme préférée"
"dequelquesfournitures"	"De quelques fournitures de bureau nécessaires à un oulipien dans l’exercice de ses fonctions."	"forme alternative"
"dequeneaualoulipo"	"De Queneau à l’Oulipo"	"forme préférée"
"dereutricularia"	"De re utricularia"	"forme préférée"
"dereutricularia"	"De re…"	"forme alternative"
"desansetdesanes"	"Des ans et des ânes"	"forme préférée"
"desformationsdelinconscient"	"Des formations de l’inconscient"	"forme préférée"
"designofalanguageforcosmicintercourse"	"Design of a language for cosmic intercourse"	"forme préférée"
"destinscroises"	"Destins croisés"	"forme préférée"
