"id"	"forme"	"label"
"ecolenormalesuperieurederabat"	"Ecole normale supérieure de Rabat"	"forme préférée"
"ecolepolytechnique"	"Ecole Polytechnique"	"forme préférée"
"ecoutesilpleut"	"Ecoute-s’il pleut"	"forme préférée"
"editiongyroscope"	"Édition Gyroscope"	"forme préférée"
"editionmgardner"	"Édition M. Gardner"	"forme préférée"
"editionsamizdat"	"Édition Samiz-Dat"	"forme préférée"
"editionscape"	"Editions Cape"	"forme préférée"
"editionscape"	"Editions CAPE"	"forme alternative"
"editionsdelamanufacture"	"Éditions de la Manufacture"	"forme préférée"
"editionsdescendres"	"Éditions des Cendres"	"forme préférée"
"editionsdroz"	"Editions Droz"	"forme préférée"
"einandi"	"Einandi"	"forme préférée"
"ens"	"Ecole normale supérieure (ENS)"	"forme préférée"
"ens"	"ENS"	"forme alternative"
"estienne"	"Ecole Estienne"	"forme préférée"
"estienne"	"Estienne"	"forme alternative"
"euratom"	"Euratom"	"forme préférée"
"europalia"	"Europalia"	"forme préférée"
"europalia"	"EUROPALIA"	"forme alternative"
"facdavignon"	"Faculté d’Avignon"	"forme préférée"
"facdavignon"	"Fac d’Avignon"	"forme alternative"
"federationnationaledesartsgraphiques"	"Fédération nationale des Arts graphiques"	"forme préférée"
"federop"	"Fédérop"	"forme préférée"
"fernandnathan"	"Fernand Nathan"	"forme préférée"
"festivaldecannes"	"Festival de Cannes"	"forme préférée"
"financhi"	"Financhi"	"forme préférée"
"flammarion"	"Flammarion"	"forme préférée"
"fnac"	"FNAC"	"forme préférée"
"fnag"	"Fédération nationale des Arts graphiques (FNAG)"	"forme préférée"
"fnag"	"FNAG"	"forme alternative"
"folio"	"Folio"	"forme préférée"
"fondsqueneau"	"fond"	"forme alternative"
"fondationapplepourlalitterature"	"Fondation APPLE pour la Littérature"	"forme préférée"
"fondationfournel"	"Fondation Fournel"	"forme préférée"
"fondationheinz"	"Fondation Heinz"	"forme préférée"
"bibliothequejacquesdoucet"	"Fond Doucet"	"forme alternative"
"fondsqueneau"	"fond Queneau"	"forme alternative"
"fondsqueneau"	"Fonds Queneau"	"forme préférée"
"fouslitteraires"	"Fous Littéraires"	"forme préférée"
"fr3"	"FR3"	"forme préférée"
"frac"	"FRAC"	"forme préférée"
"franceculture"	"France Culture"	"forme préférée"
"fr3"	"France III"	"forme alternative"
"franceinter"	"France Inter"	"forme préférée"
"franceloisirs"	"France Loisirs"	"forme préférée"
"franceradio"	"France Radio"	"forme préférée"
"francesoir"	"France-Soir"	"forme préférée"
"francsbourgeois"	"Francs Bourgeois"	"forme préférée"
"gallimard"	"Gallimard"	"forme préférée"
"gam"	"GAM"	"forme préférée"
"georgesgerard"	"Georges Gérard"	"forme préférée"
"gallimard"	"G.ll.m.rd"	"forme alternative"
"grandsrhetoriqueurs"	"Grands Rhétoriqueurs"	"forme préférée"
"gri"	"Radiodiffusion-télévision française / GRI"	"forme préférée"
"gri"	"GRI"	"forme alternative"
"groupeaudoisdelitteratureorale"	"Groupe audois de Littérature Orale"	"forme préférée"
"groupebense"	"Groupe Bense"	"forme préférée"
"groupedebesancon"	"Groupe de Besançon"	"forme préférée"
"hachette"	"Hachette"	"forme préférée"
"hamiltoncollege"	"Hamilton College"	"forme préférée"
"hauser"	"Hauser"	"forme préférée"
"hermann"	"Hermann"	"forme préférée"
"hune"	"Hune"	"forme préférée"
"ibm"	"IBM"	"forme préférée"
"ibm"	"ibm"	"forme alternative"
"ideespoche"	"Idées-Poche"	"forme préférée"
"ifip"	"International Federation for Information Processing (IFIP)"	"forme préférée"
"ifip"	"IFIP"	"forme alternative"
