"id"	"forme"	"label"
"lectureaaixoubeaubourg"	"Lecture à Aix ou Beaubourg"	"forme préférée"
"lectureathletes"	"Lecture « Athlètes »"	"forme préférée"
"lecturedelaviemodedemploiapompidou"	"Lecture de La vie mode d'emploi à Pompidou"	"forme préférée"
"lecturefnac"	"Lecture FNAC"	"forme préférée"
"lecturegpaumillefeuilles"	"Lecture Georges Perec au Millefeuilles"	"forme préférée"
"lecturegpaumillefeuilles"	"Lecture GP au Millefeuilles"	"forme alternative"
"lecturelimours"	"Lecture Limours"	"forme préférée"
"lectureoulipienne"	"lecture oulipienne"	"forme alternative"
"lectureoulipo"	"Lecture Oulipo"	"forme préférée"
"lectureoulipo"	"Lecture Oulipo à Ivry"	"forme alternative"
"lectureoulipo"	"Lecture Oulipo sur la Rime"	"forme alternative"
"lectureoulipo"	"lecture de l'Oulipo"	"forme alternative"
"lectureoulipo"	"lecture Oulipienne"	"forme alternative"
"lectureoulipo"	"lecture Oulipo"	"forme alternative"
"lectureoulipo"	"Lecture Oulipo"	"forme alternative"
"lectureoulipo"	"lecture oulipo"	"forme alternative"
"lectureperec"	"Lecture Perec"	"forme préférée"
"lecturepoetiqueaivry"	"Lecture poétique à Ivry"	"forme préférée"
"lecturequeneau"	"Lecture Queneau"	"forme préférée"
"lecturequenienne"	"Lecture quenienne"	"forme préférée"
"lemillenaire"	"Le Millénaire"	"forme préférée"
"lemillenaire"	"Le millenaire"	"forme alternative"
"lesheritiersdequeneau"	"Les héritiers de Queneau"	"forme préférée"
"lesimmateriaux"	"Immatériaux"	"forme alternative"
"lesimmateriaux"	"Les immatériaux"	"forme alternative"
"lesimmateriaux"	"l'exposition beaubourgeoise « Les immatériaux "	"forme alternative"
"lesimmateriaux"	"l'expositionLes Immatériaux"	"forme alternative"
"lesimmateriaux"	"Exposition Les Immatériaux"	"forme préférée"
"lesmathematiquesetlart"	"Les Mathématiques et l'Art"	"forme préférée"
"letricentenairedelafondationdeloulipo"	"Le tricentenaire de la fondation de l'Oulipo"	"forme préférée"
"levenementdujeudi"	"L'événement du jeudi"	"forme préférée"
"lexpositiondubuffet"	"l'exposition Dubuffet"	"forme alternative"
"lexpositiondubuffet"	"Exposition Dubuffet"	"forme préférée"
"lexpositionlucsimon"	"l'exposition Luc Simon"	"forme alternative"
"lexpositionlucsimon"	"Exposition Luc Simon"	"forme préférée"
"lhommageafll"	"Hommage à François Le Lionnais"	"forme préférée"
"lhommageafll"	"L'hommage à FLL"	"forme alternative"
"liege"	"Présentation Oulipo à Liège"	"forme préférée"
"liege"	"Liège"	"forme alternative"
"liege"	"Réunion de l'Oulipo à Liège"	"forme alternative"
"linformatiqueetlavieculturelle"	"L'informatique et la vie culturelle."	"forme préférée"
"lordinateurbeaubourg"	"L'ordinateur Beaubourg"	"forme préférée"
"loulipoavilleneuve"	"Oulipo à Villeneuve"	"forme préférée"
"loulipoavilleneuve"	"l'oulipo à Villeneuve"	"forme alternative"
"lyon"	"Lyon"	"forme préférée"
"manifestationdebruxelles"	"Manifestation de Bruxelles"	"forme préférée"
"manifestationdeloulipo"	"manifestation de l'OULIPO"	"forme alternative"
"manifestationdeloulipo"	"Manifestation Oulipo"	"forme préférée"
"manifestationdeuropalia"	"Manifestation d'EUROPALIA"	"forme préférée"
"manifestationoulipoabruxelles"	"Manifestation Oulipo à Bruxelles"	"forme préférée"
"manifestationoulipodejanvier76"	"Manifestation Oulipo de Janvier 76"	"forme préférée"
"manifestationqueneau"	"Manifestation Queneau"	"forme préférée"
"manifestationsoulipiennes"	"Manifestations oulipiennes"	"forme préférée"
"marchedelapoesie"	"Marché de la poésie"	"forme préférée"
"marseille"	"Marseille"	"forme préférée"
"medaillesfield"	"Médailles Field"	"forme préférée"
"mexico"	"Rencontre auteurs à Mexico"	"forme préférée"
"mexico"	"Mexico"	"forme alternative"
"mexico"	"Mehico"	"forme alternative"
"millefeuille"	"Millefeuille"	"forme alternative"
"millefeuille"	"Millefeuilles : journée Oulipo"	"forme préférée"
"moisdelapoesieaaix"	"Mois de la poésie à Aix"	"forme préférée"
"moispataphysiquedemontreal"	"Mai Pataphysique"	"forme alternative"
"moispataphysiquedemontreal"	"Mois pataphysique de Montréal"	"forme préférée"
"moispataphysiquedemontreal"	"Montréal"	"forme alternative"
"nantes"	"Nantes"	"forme préférée"
"nouvellemanifestationenfevriermars1976aucentrepompidou"	"nouvelle Manifestation (en février ou mars 1976) au Centre Pompidou"	"forme alternative"
"nouvellemanifestationenfevriermars1976aucentrepompidou"	"Nouvelle Manifestation au Centre Pompidou"	"forme préférée"
"nuitfureurdelire"	"Nuit. Fureur de lire."	"forme préférée"
"operationchristophecolomb"	"Opération Christophe Colomb"	"forme préférée"
"ordinateur"	"ordinateur"	"forme alternative"
"ordinateuretecrivain"	"Ordinateur"	"forme alternative"
"ordinateuretecrivain"	"Journée écrivains-ordinateur"	"forme alternative"
"ordinateuretecrivain"	"écrivains-ordinateur"	"forme alternative"
"ordinateuretecrivain"	"écrivains et ordinateur"	"forme alternative"
"ordinateuretecrivain"	"Ordinateur et écrivain"	"forme préférée"
"ordinateuretecrivain"	"Ordinateur et écrivains"	"forme alternative"
"oulibasque"	"Oulibasque"	"forme alternative"
"oulibasque"	"OULIBASQUE"	"forme préférée"
"oulipiades"	"Oulipiades"	"forme préférée"
"oulipiadesdubaruchcollege"	"Oulipiades du Baruch College"	"forme préférée"
"oulipo2emillenaire"	"Oulipo 2e millénaire"	"forme préférée"
"oulipo3000"	"Oulipo 3000"	"forme préférée"
"oulipocerisy"	"Oulipo à Cerisy"	"forme préférée"
"oulipocerisy"	"Oulipo 83 Cerisy"	"forme alternative"
"oulipoastockholm"	"Oulipo à Stockholm"	"forme préférée"
"oulipoastockholm"	"une expo en janvier 79"	"forme alternative"
"oulipocerisy"	"Oulipo-Cerisy"	"forme alternative"
"oulipogalaxie"	"Oulipo Galaxie"	"forme préférée"
"oulipomathematiquesetpoesie"	"Oulipo, Mathématiques et Poésie"	"forme préférée"
"ouliposhow"	"Oulipo show"	"forme préférée"
"ouliposhowmontreal"	"Oulipo Show Montréal"	"forme préférée"
"oulipostarparadisoulipien"	"Oulipo. STAR. Paradis oulipien"	"forme préférée"
"oulipovilleneuve"	"Oulipo à Villeneuve"	"forme préférée"
"oulipovilleneuve"	"Oulipo Villeneuve"	"forme alternative"
"oupeinpo"	"Réunion Oupeinpo"	"forme préférée"
"oupeinpo"	"Oupeinpo"	"forme alternative"
"oupeinpo"	"Peinpo"	"forme alternative"
"pennedutarn"	"Stage à Penne-du-Tarn"	"forme préférée"
"pennedutarn"	"Penne-du-Tarn"	"forme alternative"
"penserclasserabeaubourg"	"Penser-classer à Beaubourg"	"forme préférée"
"pentecoteabourges"	"Pentecôte à Bourges"	"forme préférée"
